age,gender,attitude,deep,stra,surf,points
28,M,3.3,3.8333333333333335,3.5,2.8333333333333335,17
21,F,3.3,4.25,2.625,2.25,18
30,F,3,3.8333333333333335,3.375,2.75,19
21,F,2.9,3.6666666666666665,2.25,3.9166666666666665,21
23,M,3.3,3.8333333333333335,3,2.3333333333333335,24
21,F,3.3,3.8333333333333335,4,2.75,28
21,F,3.5,3.8333333333333335,3.5,2.75,17
20,F,3.6,3.6666666666666665,2.625,2.9166666666666665,18
22,M,3.7,4.333333333333333,2.5,2.0833333333333335,17
21,M,4.2,3.75,3.75,3.6666666666666665,23
21,M,3.2,4.166666666666667,3.625,2.8333333333333335,26
20,F,5,4,4.125,3.4166666666666665,28
22,M,4.7,4,4.375,1.5833333333333333,31
20,F,3.6,4.583333333333333,2.625,2.9166666666666665,27
20,F,3.6,3.6666666666666665,4,3,25
24,M,2.9,3.6666666666666665,2.75,2.9166666666666665,23
20,F,3.5,3.8333333333333335,2.75,2.6666666666666665,21
19,F,4,2.5833333333333335,1.375,3,27
21,F,3.5,3.5,2.25,2.75,28
21,F,3.2,3.0833333333333335,3.625,3.0833333333333335,23
22,F,2.6,4.25,3.75,2.5,21
25,F,2,3.1666666666666665,4,2.3333333333333335,25
21,F,2.7,3.0833333333333335,3.125,3,11
22,F,3.2,4.166666666666667,3.25,3,19
25,F,3.3,2.25,2.125,4,24
20,F,3.9,3.3333333333333335,2.875,3.25,28
24,M,3.3,3.0833333333333335,1.5,3.5,21
20,F,3,2.75,2.5,3.5,24
21,M,3.7,3.25,3.25,3.8333333333333335,24
20,F,2.5,4,3.625,2.9166666666666665,20
20,F,2.9,3.5833333333333335,3.875,2.1666666666666665,19
31,M,3.9,4.083333333333333,3.875,1.6666666666666667,30
20,F,3.6,4.25,2.375,2.0833333333333335,22
22,F,2.9,3.4166666666666665,3,2.8333333333333335,16
22,F,2.1,3.0833333333333335,3.375,3.4166666666666665,16
21,M,3.1,3.5,2.75,3.3333333333333335,19
22,M,4,3.6666666666666665,4.5,2.5833333333333335,30
21,F,3.1,4.25,2.625,2.8333333333333335,23
21,F,2.3,4.25,2.75,3.3333333333333335,19
21,F,2.8,3.8333333333333335,3.25,3,18
21,F,3.7,4.416666666666667,4.125,2.5833333333333335,28
20,F,2.6,3.5,3.375,2.4166666666666665,21
21,F,2.4,3.5833333333333335,2.75,3.5833333333333335,19
25,F,3,3.6666666666666665,4.125,2.0833333333333335,27
21,M,2.8,2.0833333333333335,3.25,4.333333333333333,24
24,F,2.9,4.25,2.875,2.6666666666666665,21
20,F,2.4,3.5833333333333335,2.875,3,20
21,M,3.1,4,2.375,2.6666666666666665,28
20,F,1.9,3.3333333333333335,3.875,2.1666666666666665,12
20,F,2,3.5,2.125,2.6666666666666665,21
18,F,3.8,3.1666666666666665,4,2.25,28
21,F,3.4,3.5833333333333335,3.25,2.6666666666666665,31
19,F,3.7,3.4166666666666665,2.625,3.3333333333333335,18
21,F,2.9,4.25,2.75,3.5,25
20,F,2.3,3.25,4,2.75,19
21,M,4.1,4.416666666666667,3,2,21
20,F,2.7,3.25,3.375,2.8333333333333335,16
21,F,3.5,3.9166666666666665,3.875,3.5,7
20,F,3.4,3.5833333333333335,3.25,2.5,21
18,F,3.2,4.5,3.375,3.1666666666666665,17
22,M,3.3,3.5833333333333335,4.125,3.0833333333333335,22
22,F,3.3,3.6666666666666665,3.5,2.9166666666666665,18
24,M,3.5,2.5833333333333335,2,3.1666666666666665,25
19,F,3.2,4.166666666666667,3.625,2.5,24
20,F,3.1,3.25,3.375,3.8333333333333335,23
20,F,2.8,4.333333333333333,2.125,2.25,23
17,F,1.7,3.9166666666666665,4.625,3.4166666666666665,26
19,M,1.9,2.6666666666666665,2.5,3.75,12
20,F,3.5,3.0833333333333335,2.875,3,32
20,F,2.4,3.75,2.75,2.5833333333333335,22
20,F,2.1,4.166666666666667,4,3.3333333333333335,20
20,F,2.9,4.166666666666667,2.375,2.8333333333333335,21
19,F,1.9,3.25,3.875,3,23
19,F,2,4.083333333333333,3.375,2.8333333333333335,20
22,F,4.2,2.9166666666666665,1.75,3.1666666666666665,28
35,M,4.1,3.8333333333333335,3,2.75,31
18,F,3.7,3.1666666666666665,2.625,3.4166666666666665,18
19,F,3.6,3.4166666666666665,2.625,3,30
21,M,1.8,4.083333333333333,3.375,2.6666666666666665,19
